"Timestamp","What is your gender?","What year did you complete you SPM?","  Which state did you complete your SPM in?  ","  What type of secondary school did you attend?  ","Which stream did you take during SPM? (Select up to 2)","What was your SPM results?","Which subjects did you enjoy most during SPM? (Select up to 3)  ","Which subjects did you find most difficult during SPM? (Select up to 3)   ","How would you describe your personality?  ","Which type of tasks do you enjoy most? (Select up to 2)","How would you describe your characteristics? (Select up to 3)","How comfortable are you with public speaking or presentations?  ","Which pre-university program or course did you take after SPM?  ","What major / field of study did you pursue / currently pursuing?  ","What were the main reasons for choosing that major? (Select up to 3)  ","Would you say your field of study is related to your stream you were in for SPM?","How satisfied are you with your current field of study?  ","What advice would you give to current SPM students choosing their major?  "
"2025/11/17 12:30:24 PM GMT+8","Female","SPM 2020","Kedah","Boarding School (SBP / MRSM etc)","Arts","9+ As (A-, A, A+)","Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Mathematical Subjects","Extrovert","Creating or designing things;Helping and communicating with people","Creative;Persuasive;Observant","5","Foundation","Media & Communication","Personal interest & Passion;Job opportunities;Peers / Friends influence","Yes","4","Make list of pros and cons for each major"
"2025/11/17 12:36:24 PM GMT+8","Male","SPM 2022","Negeri Sembilan","Religous School (Sekolah Agama)","Science (Biology, Chemistry etc);Islamic Studies","6 - 8 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Introvert","Organizing, planning, or managing;Experimenting and researching","Strategic;Resiliant;Compassionate","2","A-Levels","Engineering (Mechanical, Civil, Electrical etc)","Family expectation;Peers / Friends influence","Yes","2","Do what YOU want to do"
"2025/11/17 12:39:19 PM GMT+8","Male","SPM 2022","Kedah","Boarding School (SBP / MRSM etc)","Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","6 - 8 As (A-, A, A+)","Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Mathematical Subjects","Ambivert","Solving logical or mathematical problems;Experimenting and researching","Analytical;Strategic;Innovative","2","A-Levels","Engineering (Mechanical, Civil, Electrical etc)","Academic strength in SPM subjects;University / Scolarship offer;Family expectation","Yes","1","Doing majors for the sake of your family's expectation won't do you any good"
"2025/11/17 12:41:33 PM GMT+8","Female","SPM 2023","Melaka","Public School (SMK / SMJKC)","Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","3 - 5 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Mathematical Subjects","Technical & Engineering Subjects;Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Extrovert","Solving logical or mathematical problems;Writing or storytelling","Strategic;Persuasive;Observant","4","Matriculation","Engineering (Mechanical, Civil, Electrical etc)","Academic strength in SPM subjects;Family expectation;Peers / Friends influence","Yes","1","Dont choose for others' appoval"
"2025/11/17 12:54:27 PM GMT+8","Female","SPM 2021","Negeri Sembilan","Boarding School (SBP / MRSM etc)","Accountancy & Commerce (Perniagaan, Ekonomi etc)","6 - 8 As (A-, A, A+)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Extrovert","Experimenting and researching;Analysing and interpreting data","Outgoing;Analytical;Compassionate","5","A-Levels","Business & Management (Accounting, Finance, Marketing etc)","Personal interest & Passion;Academic strength in SPM subjects;Job opportunities","Yes","4","Choose wisely"
"2025/11/17 12:57:19 PM GMT+8","Male","SPM 2021","Selangor","Public School (SMK / SMJKC)","Accountancy & Commerce (Perniagaan, Ekonomi etc)","1 - 2 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab)","Accountancy & Commerce Subjects","Extrovert","Solving logical or mathematical problems;Creating or designing things;Helping and communicating with people","Creative;Outgoing;Persuasive","2","Diploma","Business & Management (Accounting, Finance, Marketing etc)","Family expectation","Yes","2","choose wisely"
"2025/11/17 1:01:23 PM GMT+8","Female","SPM 2020","Sabah","Public School (SMK / SMJKC)","Arts;Sports Science","1 - 2 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Introvert","Organizing, planning, or managing;Experimenting and researching","Persuasive;Observant;Resiliant","1","Diploma","Architecture & Built Environment","Personal interest & Passion;Job opportunities;Salary potential","Yes","4","Choose what you want"
"2025/11/17 1:08:25 PM GMT+8","Female","SPM 2020","Johor","Public School (SMK / SMJKC)","Science (Biology, Chemistry etc)","3 - 5 As (A-, A, A+)","Mathematical Subjects","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Ambivert","Solving logical or mathematical problems;Helping and communicating with people","Adventurous;Outgoing","3","Matriculation","Health & Medical Sciences (Medicine, Pharmacy, Dentristry etc)","Job opportunities","Yes","4","Theres so many available majors available, look it up and think wisely dont go following others! you have to enjoy doing what you do"
"2025/11/17 1:13:25 PM GMT+8","Female","SPM 2019 or earlier","Selangor","Religous School (Sekolah Agama)","Science (Biology, Chemistry etc);Islamic Studies","9+ As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Science Subjects (Science, Biology, Physics)","Introvert","Solving logical or mathematical problems;Organizing, planning, or managing","Outgoing;Strategic;Compassionate","3","Diploma","Health & Medical Sciences (Medicine, Pharmacy, Dentristry etc)","Personal interest & Passion;University / Scolarship offer","Yes","4","Do a thorough readings on your courses options and manage your expectations from there"
"2025/11/17 1:18:06 PM GMT+8","Female","SPM 2019 or earlier","Melaka","Public School (SMK / SMJKC)","Science (Biology, Chemistry etc)","3 - 5 As (A-, A, A+)","Science Subjects (Science, Biology, Physics)","Mathematical Subjects","Ambivert","Organizing, planning, or managing;Experimenting and researching","Creative;Strategic;Observant","3","Matriculation","Health & Medical Sciences (Medicine, Pharmacy, Dentristry etc)","Family expectation","Yes","2","select a field of study that genuinely aligns with your own interests and strengths. avoid choosing a major solely to satisfy the expectations of others."
"2025/11/17 1:22:52 PM GMT+8","Male","SPM 2022","Melaka","Boarding School (SBP / MRSM etc)","Science (Biology, Chemistry etc)","6 - 8 As (A-, A, A+)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Extrovert","Helping and communicating with people;Experimenting and researching","Analytical;Observant;Innovative","4","Diploma","Engineering (Mechanical, Civil, Electrical etc)","Personal interest & Passion;Academic strength in SPM subjects;Family expectation","Yes","2","Dont choose just to meet expectations"
"2025/11/17 1:23:26 PM GMT+8","Male","SPM 2021","Sabah","Public School (SMK / SMJKC)","Science (Biology, Chemistry etc)","3 - 5 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Mathematical Subjects;Science Subjects (Science, Biology, Physics);Technology & Computing Subjects","Introvert","Solving logical or mathematical problems;Organizing, planning, or managing;Experimenting and researching","Creative;Adventurous;Analytical","2","Diploma","Engineering (Mechanical, Civil, Electrical etc)","Personal interest & Passion;Academic strength in SPM subjects;Job opportunities","Yes","2","choose based on your interest"
"2025/11/17 1:31:40 PM GMT+8","Female","SPM 2021","Sarawak","Public School (SMK / SMJKC)","Arts","9+ As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Extrovert","Creating or designing things;Organizing, planning, or managing","Creative;Observant;Innovative","5","Diploma","Media & Communication","Personal interest & Passion;Academic strength in SPM subjects;Job opportunities","No","4","Choose wisely so your college days are fun! ;)"
"2025/11/17 2:14:26 PM GMT+8","Male","SPM 2020","Selangor","Public School (SMK / SMJKC)","Accountancy & Commerce (Perniagaan, Ekonomi etc)","3 - 5 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Mathematical Subjects","Science Subjects (Science, Biology, Physics)","Extrovert","Organizing, planning, or managing","Adventurous;Outgoing;Analytical;Strategic;Resiliant;Innovative","2","Diploma","Business & Management (Accounting, Finance, Marketing etc)","Job opportunities","No","3","choose wisely"
"2025/11/17 2:22:47 PM GMT+8","Female","SPM 2020","Selangor","Public School (SMK / SMJKC)","Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","6 - 8 As (A-, A, A+)","Technology & Computing Subjects","Mathematical Subjects","Ambivert","Creating or designing things;Analysing and interpreting data","Outgoing;Analytical;Strategic;Observant;Resiliant","3","Diploma","Computer Science, Software & Data (Cybersecurity, Data Analytics etc)","Personal interest & Passion;Job opportunities;Salary potential","Yes","4","I hope they can choose what makes them feel kinda excited to learn and what they really interested in."
"2025/11/17 2:24:24 PM GMT+8","Male","SPM 2020","Selangor","Public School (SMK / SMJKC)","Accountancy & Commerce (Perniagaan, Ekonomi etc)","1 - 2 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Science Subjects (Science, Biology, Physics);Accountancy & Commerce Subjects","Ambivert","Solving logical or mathematical problems;Helping and communicating with people","Observant;Resiliant;Compassionate","3","Diploma","Engineering (Mechanical, Civil, Electrical etc)","Job opportunities;Salary potential;Family expectation","No","4","tidak semestinya kita masuk universiti kita akan dapat jurusan yang berkait dengan jurusan di sekolah menengah.cuba lah untuk belajar benda baru supaya jurusan kita dapat bersesuaian pada market pekerjaan sekarang "
"2025/11/17 2:36:50 PM GMT+8","Female","SPM 2020","Kuala Lumpur","Private School","Arts","3 - 5 As (A-, A, A+)","Mathematical Subjects;Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics)","Introvert","Solving logical or mathematical problems;Helping and communicating with people","Analytical;Strategic;Reserved","1","Diploma","Architecture & Built Environment","Personal interest & Passion;Job opportunities;Peers / Friends influence","No","4","Choose the one you really want"
"2025/11/17 2:37:15 PM GMT+8","Female","SPM 2020","Selangor","Public School (SMK / SMJKC)","Science (Biology, Chemistry etc)","6 - 8 As (A-, A, A+)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Science Subjects (Science, Biology, Physics)","Introvert","Solving logical or mathematical problems;Experimenting and researching;Analysing and interpreting data","Analytical;Persuasive;Observant","4","Diploma","Business & Management (Accounting, Finance, Marketing etc)","Job opportunities;University / Scolarship offer;Salary potential","No","3","Choose wisely "
"2025/11/17 2:38:37 PM GMT+8","Male","SPM 2020","Negeri Sembilan","Boarding School (SBP / MRSM etc)","Accountancy & Commerce (Perniagaan, Ekonomi etc);Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","9+ As (A-, A, A+)","Mathematical Subjects;Technical & Engineering Subjects;Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics)","Extrovert","Helping and communicating with people;Experimenting and researching;Analysing and interpreting data","Analytical;Strategic;Compassionate","4","STPM","Science & Mathematics (Biology, Chemistry, Mathematics etc)","Personal interest & Passion;Academic strength in SPM subjects","Yes","5","don’t let what others say influence your choice"
"2025/11/17 2:40:32 PM GMT+8","Female","SPM 2021","Pahang","Religous School (Sekolah Agama)","Arts;Islamic Studies","6 - 8 As (A-, A, A+)","Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects","Introvert","Experimenting and researching;Writing or storytelling","Adventurous;Outgoing;Compassionate","2","Diploma","Architecture & Built Environment","Personal interest & Passion;Academic strength in SPM subjects;Peers / Friends influence","Yes","4","think deep and hard what you’d like to do for the next 40 years of your life"
"2025/11/17 2:42:30 PM GMT+8","Female","SPM 2022","Sabah","Boarding School (SBP / MRSM etc)","Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","3 - 5 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Technology & Computing Subjects;Technical & Engineering Subjects","Extrovert","Creating or designing things;Helping and communicating with people","Outgoing;Strategic;Persuasive","5","Matriculation","Engineering (Mechanical, Civil, Electrical etc)","Academic strength in SPM subjects;Family expectation;Peers / Friends influence","Yes","2","Weigh both interests and strength, not either"
"2025/11/17 2:44:26 PM GMT+8","Male","SPM 2020","Pahang","Public School (SMK / SMJKC)","Accountancy & Commerce (Perniagaan, Ekonomi etc)","6 - 8 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Mathematical Subjects","Science Subjects (Science, Biology, Physics);Accountancy & Commerce Subjects","Ambivert","Solving logical or mathematical problems;Writing or storytelling","Analytical;Observant;Resiliant","5","A-Levels","Business & Management (Accounting, Finance, Marketing etc)","Academic strength in SPM subjects;Job opportunities;Family expectation","Yes","3","your choice matter so do research"
"2025/11/17 2:46:02 PM GMT+8","Female","SPM 2022","Kuala Lumpur","Private School","Accountancy & Commerce (Perniagaan, Ekonomi etc);Islamic Studies","9+ As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Mathematical Subjects;Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Science Subjects (Science, Biology, Physics)","Introvert","Solving logical or mathematical problems;Writing or storytelling","Analytical;Compassionate;Innovative","1","Foundation","Business & Management (Accounting, Finance, Marketing etc)","Job opportunities;Salary potential;Family expectation","Yes","4","choose wisely"
"2025/11/17 3:21:01 PM GMT+8","Male","SPM 2022","Perlis","Public School (SMK / SMJKC)","Arts;Sports Science","3 - 5 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Extrovert","Helping and communicating with people;Organizing, planning, or managing","Outgoing;Persuasive;Compassionate","4","Foundation","Business & Management (Accounting, Finance, Marketing etc)","Personal interest & Passion;Salary potential;Family expectation","No","5","follow your passion!"
"2025/11/17 3:30:19 PM GMT+8","Female","SPM 2020","Kuala Lumpur","Private School","Science (Biology, Chemistry etc);Accountancy & Commerce (Perniagaan, Ekonomi etc)","3 - 5 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral);Accountancy & Commerce Subjects","Introvert","Solving logical or mathematical problems;Experimenting and researching","Analytical;Observant;Compassionate","5","A-Levels","Science & Mathematics (Biology, Chemistry, Mathematics etc)","Personal interest & Passion;Academic strength in SPM subjects;Family expectation","Yes","4","choose your passion"
"2025/11/17 5:08:52 PM GMT+8","Female","SPM 2019 or earlier","Selangor","Public School (SMK / SMJKC)","Science (Biology, Chemistry etc)","3 - 5 As (A-, A, A+)","Mathematical Subjects","Science Subjects (Science, Biology, Physics)","Ambivert","Solving logical or mathematical problems","Creative;Adventurous;Analytical;Observant","3","Diploma","Health & Medical Sciences (Medicine, Pharmacy, Dentristry etc)","Job opportunities","Yes","3","choose things u know u can do"
"2025/11/17 6:33:49 PM GMT+8","Female","SPM 2022","Melaka","Boarding School (SBP / MRSM etc)","Accountancy & Commerce (Perniagaan, Ekonomi etc)","3 - 5 As (A-, A, A+)","Accountancy & Commerce Subjects","Mathematical Subjects","Ambivert","Helping and communicating with people;Organizing, planning, or managing;Experimenting and researching","Creative;Observant;Reserved","1","Foundation","Humanities & Social Sciences (Philosophy, Language etc)","Personal interest & Passion;Academic strength in SPM subjects","No","3","study bro"
"2025/11/17 8:24:53 PM GMT+8","Female","SPM 2019 or earlier","Selangor","Religous School (Sekolah Agama)","Science (Biology, Chemistry etc);Arts;Islamic Studies","6 - 8 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects","Extrovert","Creating or designing things;Helping and communicating with people;Organizing, planning, or managing;Writing or storytelling","Creative;Outgoing;Persuasive;Compassionate","4","Matriculation","Health & Medical Sciences (Medicine, Pharmacy, Dentristry etc)","Personal interest & Passion;Academic strength in SPM subjects;Job opportunities;Family expectation","Yes","5","Choose what you passion with was truly important. And once you choose the major, do it with full of effort. Every major will give different challenges, none consider as ""this is more easier than this"". May whatever you choose will lead you to the best path!"
"2025/11/17 11:24:13 PM GMT+8","Female","SPM 2021","Pahang","Public School (SMK / SMJKC)","Arts;Sports Science","1 - 2 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Extrovert","Helping and communicating with people;Organizing, planning, or managing","Adventurous;Outgoing;Persuasive","2","Diploma","Creative Art (Fashion Design, Interior Design etc)","Academic strength in SPM subjects;Family expectation;Peers / Friends influence","Yes","2","your choice shouldn’t be influenced by others"
"2025/11/17 11:26:29 PM GMT+8","Male","SPM 2020","Kedah","Boarding School (SBP / MRSM etc)","Accountancy & Commerce (Perniagaan, Ekonomi etc);Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","6 - 8 As (A-, A, A+)","Mathematical Subjects;Technology & Computing Subjects;Accountancy & Commerce Subjects","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Introvert","Solving logical or mathematical problems;Analysing and interpreting data","Analytical;Strategic;Observant","5","A-Levels","Business & Management (Accounting, Finance, Marketing etc)","Personal interest & Passion;Academic strength in SPM subjects;Job opportunities","Yes","5","Think wisely of how you want your journey to be"
"2025/11/17 11:33:31 PM GMT+8","Male","SPM 2019 or earlier","Sabah","Public School (SMK / SMJKC)","Arts;Sports Science","3 - 5 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Introvert","Organizing, planning, or managing;Writing or storytelling","Resiliant;Compassionate;Reserved","2","Matriculation","Computer Science, Software & Data (Cybersecurity, Data Analytics etc)","Job opportunities;Salary potential;Family expectation","No","5","spm subjects don’t matter as long as you know what you’re passionate in"
"2025/11/17 11:35:28 PM GMT+8","Male","SPM 2019 or earlier","Sabah","Boarding School (SBP / MRSM etc)","Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","9+ As (A-, A, A+)","Technology & Computing Subjects;Technical & Engineering Subjects","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Introvert","Solving logical or mathematical problems;Analysing and interpreting data","Analytical;Strategic;Observant;Reserved","2","Matriculation","Computer Science, Software & Data (Cybersecurity, Data Analytics etc)","Personal interest & Passion;Academic strength in SPM subjects;Job opportunities;Salary potential","Yes","5","research is so important before making this choice"
"2025/11/17 11:37:26 PM GMT+8","Male","SPM 2019 or earlier","Sarawak","Boarding School (SBP / MRSM etc)","Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc);Sports Science","9+ As (A-, A, A+)","Technology & Computing Subjects;Technical & Engineering Subjects","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Introvert","Experimenting and researching;Analysing and interpreting data","Observant;Innovative;Reserved","4","Matriculation","Engineering (Mechanical, Civil, Electrical etc)","Personal interest & Passion;Academic strength in SPM subjects;Family expectation","Yes","2","Just because you studied it for spm, doesn’t mean you have to choose it for your major"
"2025/11/17 11:40:15 PM GMT+8","Male","SPM 2019 or earlier","Kuala Lumpur","Public School (SMK / SMJKC)","Arts;Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","9+ As (A-, A, A+)","Technical & Engineering Subjects;Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Mathematical Subjects","Introvert","Solving logical or mathematical problems;Creating or designing things","Observant;Innovative;Reserved","4","Matriculation","Engineering (Mechanical, Civil, Electrical etc)","Personal interest & Passion;Academic strength in SPM subjects;Family expectation","Yes","5","your opinion matters so much more than others’"
"2025/11/17 11:42:41 PM GMT+8","Male","SPM 2019 or earlier","Sabah","Boarding School (SBP / MRSM etc)","Arts;Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","9+ As (A-, A, A+)","Technical & Engineering Subjects;Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics)","Introvert","Creating or designing things;Organizing, planning, or managing","Creative;Strategic;Innovative","1","Diploma","Architecture & Built Environment","Personal interest & Passion;Academic strength in SPM subjects;Family expectation","Yes","5","Ask around for different views in choices"
"2025/11/17 11:44:37 PM GMT+8","Male","SPM 2019 or earlier","Kuala Lumpur","Boarding School (SBP / MRSM etc)","Arts;Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","1 - 2 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Technical & Engineering Subjects","Introvert","Creating or designing things;Organizing, planning, or managing","Observant;Resiliant;Innovative","1","Diploma","Architecture & Built Environment","Academic strength in SPM subjects;Family expectation;Peers / Friends influence","Yes","1","Ask your seniors that are taking/have taken the major for their experiences "
"2025/11/17 11:46:59 PM GMT+8","Female","SPM 2019 or earlier","Kuala Lumpur","Private School","Arts;Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","3 - 5 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Technical & Engineering Subjects;Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Introvert","Organizing, planning, or managing;Experimenting and researching","Creative;Persuasive;Resiliant","1","Matriculation","Architecture & Built Environment","Academic strength in SPM subjects;Family expectation;Peers / Friends influence","Yes","1","ask people in your profession of interest"
"2025/11/18 12:34:51 AM GMT+8","Male","SPM 2019 or earlier","Perlis","Religous School (Sekolah Agama)","Science (Biology, Chemistry etc);Islamic Studies","3 - 5 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects","Introvert","Solving logical or mathematical problems;Experimenting and researching","Strategic;Persuasive;Resiliant","2","STPM","Science & Mathematics (Biology, Chemistry, Mathematics etc)","Job opportunities;Family expectation;Peers / Friends influence","Yes","1","don’t choose solely based on spm subjects"
"2025/11/18 12:37:10 AM GMT+8","Male","SPM 2019 or earlier","Kuala Lumpur","Private School","Arts;Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","6 - 8 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Introvert","Creating or designing things;Helping and communicating with people","Creative;Adventurous;Persuasive","2","Diploma","Architecture & Built Environment","Job opportunities;Salary potential;Peers / Friends influence","Yes","1","Ask around for different stories and experiences "
"2025/11/18 12:41:33 AM GMT+8","Male","SPM 2019 or earlier","Sabah","Boarding School (SBP / MRSM etc)","Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","3 - 5 As (A-, A, A+)","Technical & Engineering Subjects;Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Mathematical Subjects","Introvert","Creating or designing things;Organizing, planning, or managing","Strategic;Persuasive;Observant","2","A-Levels","Architecture & Built Environment","Personal interest & Passion;Academic strength in SPM subjects","Yes","5","do research !!!"
"2025/11/18 12:44:23 AM GMT+8","Male","SPM 2020","Kuala Lumpur","Private School","Arts;Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","3 - 5 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Mathematical Subjects","Technical & Engineering Subjects;Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Introvert","Solving logical or mathematical problems;Writing or storytelling","Adventurous;Analytical;Compassionate","1","A-Levels","Architecture & Built Environment","Job opportunities;Family expectation;Peers / Friends influence","Yes","1","look on different websites for different experiences "
"2025/11/18 12:50:10 AM GMT+8","Male","SPM 2019 or earlier","Sabah","Boarding School (SBP / MRSM etc)","Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc);Islamic Studies","3 - 5 As (A-, A, A+)","Mathematical Subjects;Technical & Engineering Subjects","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Introvert","Experimenting and researching;Analysing and interpreting data","Analytical;Persuasive;Resiliant","1","Matriculation","Engineering (Mechanical, Civil, Electrical etc)","Academic strength in SPM subjects;Family expectation;Peers / Friends influence","Yes","1","Find different choices"
"2025/11/18 12:52:58 AM GMT+8","Male","SPM 2020","Sarawak","Boarding School (SBP / MRSM etc)","Accountancy & Commerce (Perniagaan, Ekonomi etc);Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","9+ As (A-, A, A+)","Science Subjects (Science, Biology, Physics);Technology & Computing Subjects;Accountancy & Commerce Subjects","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Mathematical Subjects","Introvert","Organizing, planning, or managing;Experimenting and researching","Strategic;Persuasive;Observant","2","Diploma","Media & Communication","Personal interest & Passion;Job opportunities;Salary potential","No","5","Make your choice wisely"
"2025/11/18 12:55:03 AM GMT+8","Female","SPM 2020","Pulau Pinang","Private School","Arts;Sports Science","6 - 8 As (A-, A, A+)","Mathematical Subjects;Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics)","Introvert","Solving logical or mathematical problems;Writing or storytelling","Strategic;Observant;Resiliant","2","A-Levels","Law & Legal Studies","Family expectation","No","1","Choosing solely based on family’s expectations can turn out very badly"
"2025/11/18 12:59:31 AM GMT+8","Female","SPM 2021","Pahang","Boarding School (SBP / MRSM etc)","Accountancy & Commerce (Perniagaan, Ekonomi etc);Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","9+ As (A-, A, A+)","Mathematical Subjects;Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral);Accountancy & Commerce Subjects","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics)","Introvert","Experimenting and researching;Analysing and interpreting data","Analytical;Strategic;Observant","5","Foundation","Business & Management (Accounting, Finance, Marketing etc)","Academic strength in SPM subjects;Job opportunities;University / Scolarship offer","Yes","4","Take your time choosing"
